nome;tipo;citta;provincia;indirizzo;email;telefono;sito;maps;priorita;fascia;fonte
Automodel Club Agrigento;pista/club;Agrigento;AG;;;;;https://www.google.com/maps/search/?api=1&query=Automodel+Club+Agrigento+Agrigento+AG;70;Alta;RCBazar/HobbyMedia
Pista Olimpia;pista/club;Alessandria;AL;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Olimpia+Alessandria+AL;70;Alta;RCBazar/HobbyMedia
Miniautodromo di Monsano;pista/club;Monsano;AN;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+di+Monsano+Monsano+AN;70;Alta;RCBazar/HobbyMedia
Miniautodromo Luca Laquale;pista/club;Santeramo in Colle;BA;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Luca+Laquale+Santeramo+in+Colle+BA;70;Alta;RCBazar/HobbyMedia
Pista RCE Casalecchio;pista/club;Casalecchio di Reno;BO;;;;;https://www.google.com/maps/search/?api=1&query=Pista+RCE+Casalecchio+Casalecchio+di+Reno+BO;70;Alta;RCBazar/HobbyMedia
Pista Capriano al Colle;pista/club;Capriano al Colle;BS;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Capriano+al+Colle+Capriano+al+Colle+BS;70;Alta;RCBazar/HobbyMedia
Pista Castel Venzago;pista/club;Lonato del Garda;BS;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Castel+Venzago+Lonato+del+Garda+BS;70;Alta;RCBazar/HobbyMedia
Miniautodromo Castel del Monte;pista/club;Andria;BT;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Castel+del+Monte+Andria+BT;70;Alta;RCBazar/HobbyMedia
Pista off-road Casalmaggiore;pista/club;Casalmaggiore;CR;;;;;https://www.google.com/maps/search/?api=1&query=Pista+off-road+Casalmaggiore+Casalmaggiore+CR;70;Alta;RCBazar/HobbyMedia
Miniautodromo Ferrarese;pista/club;Ferrara;FE;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Ferrarese+Ferrara+FE;70;Alta;RCBazar/HobbyMedia
Pista Scandicci;pista/club;Scandicci;FI;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Scandicci+Scandicci+FI;70;Alta;RCBazar/HobbyMedia
Mini Autodromo Citta di Firenze;pista/club;Firenze;FI;;;;;https://www.google.com/maps/search/?api=1&query=Mini+Autodromo+Citta+di+Firenze+Firenze+FI;40;Media;RCBazar/HobbyMedia
Miniautodromo Cassino;pista/club;Cassino;FR;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Cassino+Cassino+FR;70;Alta;RCBazar/HobbyMedia
Parco delle Signorine;pista/club;Collepasso;LE;;;;;https://www.google.com/maps/search/?api=1&query=Parco+delle+Signorine+Collepasso+LE;70;Alta;RCBazar/HobbyMedia
Miniautodromo Anxur;pista/club;Terracina;LT;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Anxur+Terracina+LT;70;Alta;RCBazar/HobbyMedia
Automodel Club Lucca;pista/club;Lucca;LU;;;;;https://www.google.com/maps/search/?api=1&query=Automodel+Club+Lucca+Lucca+LU;70;Alta;RCBazar/HobbyMedia
Il Bandone;pista/club;Versilia;LU;;;;;https://www.google.com/maps/search/?api=1&query=Il+Bandone+Versilia+LU;40;Media;RCBazar/HobbyMedia
Circuito off-road Concorezzo;pista/club;Concorezzo;MB;;;;;https://www.google.com/maps/search/?api=1&query=Circuito+off-road+Concorezzo+Concorezzo+MB;70;Alta;RCBazar/HobbyMedia
Model Club Mantova (Trincerone);pista/club;Mantova;MN;;;;;https://www.google.com/maps/search/?api=1&query=Model+Club+Mantova+%28Trincerone%29+Mantova+MN;70;Alta;RCBazar/HobbyMedia
Va' sa' Kavi;pista/club;Mantova;MN;;;;;https://www.google.com/maps/search/?api=1&query=Va%27+sa%27+Kavi+Mantova+MN;40;Media;RCBazar/HobbyMedia
Miniautodromo Tazio Nuvolari;pista/club;Marigliano;NA;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+Tazio+Nuvolari+Marigliano+NA;70;Alta;RCBazar/HobbyMedia
Miniautodromo San Carlo;pista/club;Borgetto;PA;;;;http://www.repartocorseborgetto.sitonline.it;https://www.google.com/maps/search/?api=1&query=Miniautodromo+San+Carlo+Borgetto+PA;80;Alta;RCBazar/HobbyMedia
Targa Florio RC;pista/club;Cerda;PA;;;;;https://www.google.com/maps/search/?api=1&query=Targa+Florio+RC+Cerda+PA;70;Alta;RCBazar/HobbyMedia
Miniautodromo PadovaUno;pista/club;Padova;PD;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+PadovaUno+Padova+PD;70;Alta;RCBazar/HobbyMedia
Pista off-road Torgiano;pista/club;Torgiano;PG;;;;;https://www.google.com/maps/search/?api=1&query=Pista+off-road+Torgiano+Torgiano+PG;70;Alta;RCBazar/HobbyMedia
Pista Migliarino Pisano;pista/club;Migliarino Pisano;PI;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Migliarino+Pisano+Migliarino+Pisano+PI;70;Alta;RCBazar/HobbyMedia
Pista Fontanellato;pista/club;Fontanellato;PR;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Fontanellato+Fontanellato+PR;70;Alta;RCBazar/HobbyMedia
Pista off-road Reggio Calabria;pista/club;Reggio Calabria;RC;;;;;https://www.google.com/maps/search/?api=1&query=Pista+off-road+Reggio+Calabria+Reggio+Calabria+RC;70;Alta;RCBazar/HobbyMedia
Pista Roma Tor Vergata;pista/club;Roma;RM;;;;;https://www.google.com/maps/search/?api=1&query=Pista+Roma+Tor+Vergata+Roma+RM;70;Alta;RCBazar/HobbyMedia
Miniautodromo CFT Club Nettuno;pista/club;Nettuno;RM;;;;;https://www.google.com/maps/search/?api=1&query=Miniautodromo+CFT+Club+Nettuno+Nettuno+RM;70;Alta;RCBazar/HobbyMedia
Road Race Riccione;pista/club;Riccione;RN;;;;http://www.roadracericcione.it;https://www.google.com/maps/search/?api=1&query=Road+Race+Riccione+Riccione+RN;50;Media;RCBazar/HobbyMedia
